Role,Question,Answer
admin,How do I add a new student?,"You can register new students via the public registration page, making sure to select the 'user' role and the correct plan (Basic, Classic, Pro). The system will automatically assign the next available Student ID."
admin,Where can I see the list of all students?,"Navigate to the ""Students"" section using the sidebar link (usually represented by a user/graduation cap icon) to view the student table."
admin,Can I filter the student list by their plan?,"The student table typically allows filtering. Look for filter options or dropdowns at the top of the columns, likely including one for 'Plan'."
admin,How to find a specific student?,"Use the search or filter functions available in the ""Students"" table. You can usually filter by name, email, or registration number."
admin,How do I edit a student's details (like their plan)?,"In the ""Students"" table, find the student and look for an 'Edit' icon or button in their row. Clicking that should allow you to modify their details, including their plan. (Note: Actual edit functionality might need to be built)."
admin,What happens if I try to register a student with an email that already exists?,The system should prevent the registration and display an error message indicating that the email address is already in use.
admin,Can I delete a student record?,"Yes, usually in the ""Students"" table, there's a 'Delete' icon or button for each student. Be cautious, as this action might be irreversible depending on system setup."
admin,What information is needed to register a student?,"Typically, you need the student's Name, Email, a Password (they can change later), their Role ('user'), and their Plan ('basic', 'classic', or 'pro')."
admin,How do I upload a new PDF study material?,"Go to the ""Courses"" section from the sidebar. Look for an ""Upload Material"" button. In the upload form/modal, select the 'PDF' option, enter the title, choose the access type (batch), and select the PDF file."
admin,How do I upload a video lesson?,"Navigate to ""Courses"", click ""Upload Material"", select the 'Video' option, provide a title, choose the access type (batch), and upload the video file (and optionally a thumbnail)."
admin,Where can I see all the course materials I've uploaded?,"The ""Courses"" section should display lists of the PDF materials and video lessons you have uploaded, likely filterable by batch."
admin,How can I change the batch access for a PDF?,"Find the PDF in the ""Courses"" material list. There should be an action menu (three dots) or an 'Edit' button allowing you to change its details, including the 'Access Type'. (Note: Edit functionality might need implementation)."
admin,Can I delete a video I uploaded?,"Yes, locate the video in the ""Courses"" section. Use the 'Delete' button or action menu associated with that video. The video file might also be removed from storage."
admin,What file types are allowed for video uploads?,The system is primarily configured for standard video formats like MP4. Check the upload form for specific allowed types or error messages if you try an unsupported format.
admin,How do I view the PDF file I attached to an assignment?,"Go to the ""Post Details"" > ""Assignments"" tab. Find the assignment in the table. If a file was attached, there should be a link like ""View File"" in the 'File' column. Click it to open/download the file."
admin,How do I create a new quiz?,"Go to the ""Test & Result"" section via the sidebar. Click the ""Add New Test"" tab (or button). Fill in the quiz title, description, target batch (access type), time limit, passing score, and add questions with options and correct answers."
admin,How can I add multiple choice questions to a quiz?,"In the ""Add New Test"" form, use the ""Add Question"" button. For each question, enter the text, add at least two options using ""Add Option"", and select the correct answer using the radio button next to the option."
admin,Where can I see all the quizzes I have created?,"Navigate to ""Test & Result"" > ""Manage Quizzes"". You should see a list of all quizzes, filterable by batch."
admin,How do I edit an existing quiz (like change the title or time limit)?,"In the ""Manage Quizzes"" list, find the quiz and click the 'Edit' icon/button. This should take you to the quiz form pre-filled with the quiz data, allowing you to make changes."
